SeqName	Description
Gene_005148	actin-depolymerizing factor 7-like
Gene_005149	carboxypeptidase a4-like
Gene_005150	hypothetical protein pbra 000177
Gene_005154	achain gfp-binding darpin fusion gc r11
Gene_005155	sperm flagellar 2
Gene_005156	central pair complex 1 [micromonas commoda]
Gene_005157	flagellar associated
Gene_005158	hypothetical protein pbra 000173
Gene_005160	gtp-binding
Gene_005161	gtp-binding
Gene_005162	gtp-binding variant 2
Gene_005163	cdp-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase
Gene_005164	hypothetical protein pbra 000170; partial
Gene_005165	transaltion initiation factor
Gene_005166	electron transfer flavo-ubiquinone oxidoreductase
Gene_005167	ferric reductase
Gene_005168	gastrula zinc finger-like isoform x2
Gene_005170	e3 ubiquitin-ligase bre1
Gene_005171	sodium hydrogen exchanger variant 3
Gene_005172	zinc finger 239-like
Gene_005173	hypothetical protein pbra 000162
Gene_005174	cell division cycle-associated 7
Gene_005175	achain structure of human ist1(ntd)-(residues 1-189)(p21)
Gene_005176	dna-directed rna polymerase iii subunit rpc2
Gene_005177	ph-response regulator palc
Gene_005178	sel-1 homolog 1-like isoform x2
Gene_005179	ribosome biogenesis nop16 domain-containing
Gene_005180	epsin-3-like isoform x1
Gene_005181	hypothetical protein pbra 000154
Gene_005182	hypothetical protein pbra 001012
Gene_005183	hypothetical protein pbra 000153
Gene_005184	tetratricopeptide repeat
Gene_005185	60s ribosomal l38
Gene_005186	phosphinothricin acetyltransferase
Gene_005187	integrin alpha fg-gap repeat-containing
Gene_005188	hypothetical protein pbra 000148
Gene_005190	nucleoporin nup53 isoform x2
Gene_005191	glutaredoxin
Gene_005192	dolichyl-diphosphooligosaccharide-glycosyltransferase subunit dad1-like
Gene_005193	hypothetical protein pbra 000144
Gene_005194	hypothetical protein pbra 000143
Gene_005195	hypothetical protein pbra 000141
Gene_005196	hypothetical protein pbra 000139
Gene_005198	hypothetical protein pbra 000137
Gene_005199	hypothetical protein pbra 000136; partial
Gene_005200	serine threonine-phosphatase pp-x isozyme 2
Gene_005201	hypothetical protein pbra 000134
Gene_005202	hypothetical protein pbra 000134
Gene_005204	inositol phosphoceramide mannosyltransferase 2
Gene_005205	hypothetical protein pbra 000132
Gene_005206	kinesin kin-7o isoform x1
Gene_005207	hypothetical protein pbra 000131
Gene_005208	hypothetical protein pbra 000129
Gene_005209	hypothetical protein pbra 000129
Gene_005211	26s proteasome non-atpase regulatory subunit 14 homolog
Gene_005212	hypothetical protein pbra 000127
Gene_005213	cell division control 2 homolog a isoform x1
Gene_005214	hypothetical protein pbra 000125
Gene_005215	hypothetical protein pbra 000124
Gene_005216	hypothetical protein pbra 000124
Gene_005217	histone h1
Gene_005218	dihydroorotate dehydrogenase (quinone) mitochondrial
Gene_005219	tyrosine biosynthesis bifunctional enzyme
Gene_005220	hypothetical protein pbra 000120
Gene_005221	hypothetical protein pbra 000120
Gene_005222	branched-chain amino acid aminotransferase
Gene_005223	branched-chain amino acid aminotransferase ii
Gene_005224	wd40 repeat
Gene_005225	transcription factor 25-like
Gene_005226	predicted: uncharacterized protein loc108957749
Gene_005228	hypothetical protein pbra 005505
Gene_005231	hypothetical protein pbra 000115; partial
Gene_005232	transcriptional regulator atrx homolog [dendrobium catenatum]
Gene_005233	iksa dicdi ame: full=probable serine threonine-kinase iksa ame: full=ira1 kinase suppressor a
Gene_005234	glucosamine-6-phosphate isomerase 1
Gene_005235	peroxiredoxin
Gene_005236	alpha-1;3-mannosyl-glyco 2-beta-n-acetylglucosaminyltransferase isoform x1
Gene_005237	hypothetical protein pbra 000111
Gene_005239	transmembrane 56-b-like isoform x2
Gene_005240	60s ribosomal l32-1
Gene_005241	ubiquitin activating e1 family
Gene_005242	hypothetical protein pbra 000106
Gene_005243	probable glycosyltransferase stello2
Gene_005245	hypothetical protein pbra 000104
Gene_005246	hypothetical protein pbra 000102
Gene_005247	achain crystal structure of engineered northeast structural genomics consortium target
Gene_005248	phosphonoacetaldehyde hydrolase-like
Gene_005250	hypothetical protein pbra 000098
Gene_005251	myosin-2 heavy chain
Gene_005252	hypothetical protein pbra 000097
Gene_005253	zonadhesin-like isoform x1
Gene_005254	concanavalin a-like lectin glucanase domain-containing
Gene_005255	tp53-regulating kinase
Gene_005256	hypothetical protein pbra 000093; partial
Gene_005257	hypothetical protein pbra 000091
Gene_005258	hypothetical protein pbra 000772
Gene_005259	wd40-repeat-containing domain
Gene_005260	hypothetical protein pbra 000089
Gene_005261	hypothetical protein pbra 000089
Gene_005262	abc transporter atp-binding
Gene_005264	glutaredoxin c4
Gene_005265	homogentisate 1;2-dioxygenase
Gene_005266	homogentisate 1;2-dioxygenase
Gene_005267	ribosomal l13 (rp-rplm)
Gene_005268	serine threonine-kinase 16
Gene_005269	m-phase inducer phosphatase 3-like
Gene_005270	synaptosomal-associated 29 isoform x1
Gene_005271	m-phase inducer phosphatase 1-b-like isoform x5
Gene_005272	ras-related rab-28-like
Gene_005273	serrate rna effector molecule
Gene_005274	c2h2-type zinc finger-containing
Gene_005275	cytochrome c
Gene_005276	probable 18s rrna (guanine-n(7))-methyltransferase
Gene_005277	cytochrome c
Gene_005278	regulator of g-signaling 16-like
Gene_005279	cell division cycle 20 cofactor-apc complex
Gene_005280	hypothetical protein pbra 000071
Gene_005282	family nucleoside transporter
Gene_005284	3-phosphoinositide-dependent kinase 2-like
Gene_005285	hypothetical protein pbra 000066
Gene_005286	ring finger 121
Gene_005287	hypothetical protein pbra 000064
Gene_005288	transcription initiation factor beta subunit
Gene_005289	transcription initiation factor tfiie beta subunit
Gene_005290	upf0016 domain-containing
Gene_005291	hypothetical protein pbra 000061
Gene_005292	peptidase inhibitor 16-like
Gene_005293	hypothetical protein pbra 000059
Gene_005294	hypothetical protein pbra 000058
Gene_005295	hypothetical protein pbra 009410
Gene_005296	glucose-6-phosphate 1-epimerase
Gene_005297	translocation sec63
Gene_005298	translocation sec63
Gene_005299	hypothetical protein pbra 000054
Gene_005300	metallophosphoesterase domain-containing
Gene_005301	probable mitochondrial-processing peptidase subunit mitochondrial
Gene_005302	hypothetical protein pbra 000051
Gene_005303	cgmp-dependent 3 ;5-cyclic phosphodiesterase-like
Gene_005304	hypothetical protein pbra 000050
Gene_005305	low molecular weight phosphotyrosine phosphatase
Gene_005306	wd repeat-containing
Gene_005307	50s ribosomal l34
Gene_005308	hypothetical protein pbra 000046; partial
Gene_005310	hypothetical protein pbra 000045
Gene_005311	hypothetical protein pbra 000046; partial
Gene_005312	hypothetical protein pbra 000043
Gene_005313	hypothetical protein pbra 000042
Gene_005314	phosphatidylinositol phosphatidylcholine transfer sfh8
Gene_005315	hypothetical protein pbra 000040
Gene_005316	p-type atpase
Gene_005317	trna (adenine(58)-n(1))-methyltransferase catalytic subunit trmt61a-like
Gene_005318	hypothetical protein pbra 009595
Gene_005319	hypothetical protein pbra 000036
Gene_005320	hypothetical protein pbra 009537
Gene_005321	hypothetical protein pbra 000035
Gene_005322	dna polymerase epsilon subunit 3
Gene_005323	carbohydrate binding module (family 6)
Gene_005324	hypothetical protein pbra 000032
Gene_005325	hypothetical protein pbra 000031
Gene_005326	giy-yig nuclease
Gene_005327	hypothetical protein pbra 000031
Gene_005328	nuclear cap-binding subunit 2
Gene_005329	multicopper oxidase mco
Gene_005330	hypothetical protein pbra 000027
Gene_005331	hypothetical protein pbra 000026
Gene_005332	hypothetical protein pbra 000025
Gene_005333	hypothetical protein pbra 000024
Gene_005334	dna repair rad51
Gene_005335	cysteine and glycine-rich 2
Gene_005336	dynein light chain
Gene_005337	phytanoyl-dioxygenase
Gene_005338	nicolin 1 (macronuclear)
Gene_005339	prolyl-trna synthetase associated domain-containing
Gene_005340	hypothetical protein pbra 000016
Gene_005342	atp-dependent protease atpase subunit
Gene_005343	coiled-coil domain-containing 148 isoform x1
Gene_005344	hypothetical protein pbra 000014
Gene_005346	amino acid permease
Gene_005347	hypothetical protein pbra 000013
Gene_005348	hypothetical protein pbra 000012
Gene_005349	hypothetical protein pbra 000012
Gene_005350	adp-ribosylation factor 16 isoform x1
Gene_005351	60s acidic ribosomal p1
Gene_005352	mitogen-activated kinase kinase kinase npk1-like isoform x4
Gene_005353	hypothetical protein pbra 000008
Gene_005354	hypothetical protein pbra 000006
Gene_005355	hypothetical protein pbra 000007
Gene_005357	vesicle transport sft2a
Gene_005358	hypothetical protein pbra 000005; partial
Gene_005359	replication-associated (plasmid)
Gene_005360	hypothetical protein pbra 000003
Gene_005362	hypothetical protein pbra 000002
Gene_005363	hypothetical protein pbra 000001
Gene_005364	hypothetical protein pbra 001014; partial
Gene_005365	retrotransposon nucleocapsid
Gene_005366	chromobox homolog 2
Gene_005367	hypothetical protein pbra 009598
Gene_005368	hypothetical protein pbra 001011
Gene_005369	gtpase activating
Gene_005370	hypothetical protein pbra 001010
Gene_005371	26s proteasome non-atpase regulatory subunit 10
Gene_005372	internalin-a precursor
Gene_005373	ankyrin repeat and sterile alpha motif domain-containing 1b-like
Gene_005374	mitochondrial substrate carrier family
Gene_005375	general transcription factor 3c polypeptide 4
Gene_005376	transferase mitochondrial isoform x1
Gene_005377	elongation factor ts
Gene_005378	hypothetical protein pbra 001002
Gene_005379	hypothetical protein pbra 001001
Gene_005380	hypothetical protein pbra 001000
Gene_005381	wd repeat-containing 27-like
Gene_005382	swi snf and rsc complex subunit ssr3
Gene_005383	hypothetical protein pbra 000997
Gene_005384	gamma carbonic anhydrase mitochondrial
Gene_005385	serine threonine phosphatase
Gene_005386	gala
Gene_005387	nucleotide exchange factor
Gene_005388	endoglycoceramidase (macronuclear)
Gene_005389	[micromonas commoda]
Gene_005391	hypothetical protein pbra 000991
Gene_005392	hypothetical protein pbra 000990
Gene_005393	abc transporter
Gene_005394	tryptophan 2;3-dioxygenase
Gene_005395	arginine serine-rich splicing factor 1
Gene_005396	hypothetical protein pbra 000986; partial
Gene_005398	hypothetical protein pbra 006266; partial
Gene_005399	n-acetylated-alpha-linked acidic dipeptidase [candidatus kryptonium thompsoni]
Gene_005400	nadh dehydrogenase [ubiquinone] iron-sulfur mitochondrial
Gene_005401	hypothetical protein pbra 000983
Gene_005402	leucine-rich repeat-containing
Gene_005403	atp-binding cassette sub-family a member 3
Gene_005404	carbonic anhydrase 14-like
Gene_005405	mynd domain
Gene_005406	hypothetical protein pbra 000980
Gene_005407	hypothetical protein pbra 000980
Gene_005411	hypothetical protein pbra 000979
Gene_005412	hypothetical protein pbra 000978
Gene_005414	alpha beta-hydrolase
Gene_005415	hypothetical protein pbra 000976
Gene_005416	alpha- and gamma-adaptin-binding p34-like
Gene_005417	hypothetical protein pbra 000974
Gene_005418	anaphase-promoting complex
Gene_005419	duf3453 domain-containing symplekin c domain-containing
Gene_005420	rna polymerase i associated a49
Gene_005421	thioredoxin domain-containing 17
Gene_005422	phosphoglycolate phosphatase 2
Gene_005423	phosphomannomutase isoform x1
Gene_005424	myblike dnabinding
Gene_005425	short-chain dehydrogenase
Gene_005426	ltv1 homolog
Gene_005427	3-deoxy-d-manno-octulosonic acid transferase
Gene_005428	3-deoxy-d-manno-octulosonic acid transferase
Gene_005429	phosphonoacetaldehyde hydrolase-like
Gene_005431	hypothetical protein pbra 000962; partial
Gene_005432	wd repeat-containing mio
Gene_005433	phosphatase regulator
Gene_005434	transportin mos14 isoform x1
Gene_005435	hypothetical protein pbra 000957
Gene_005436	b9 domain-containing 2
Gene_005438	jerky homolog-like
Gene_005439	f-box at5g06550
Gene_005440	atpase aaa
Gene_005441	hypothetical protein pbra 003177
Gene_005442	tubulin polyglutamylase complex subunit 1-like
Gene_005443	superoxide-generating nadph oxidase flavocytochrome
Gene_005444	synaptobrevin domain-containing
Gene_005445	guanine nucleotide-binding g(z) subunit alpha
Gene_005446	guanine nucleotide-binding subunit alpha-14-like
Gene_005447	g-subunit alpha 6
Gene_005448	tbc1 domain family member 23
Gene_005449	hypothetical protein pbra 000948; partial
Gene_005450	kinesin kif21a isoform x2
Gene_005451	ubiquitin-conjugating enzyme e2 n
Gene_005452	adaptin earbinding coat-associated 2 (necap-2) isoform
Gene_005453	hypothetical protein pbra 000944
Gene_005454	multicopper oxidase mco
Gene_005455	sorting and assembly machinery component 50 putativ
Gene_005456	hypothetical protein pbra 000942
Gene_005458	tor signaling pathway regulator ( )
Gene_005459	hypothetical protein pbra 000940
Gene_005460	hypothetical protein pbra 000939
Gene_005461	upf0235 c15orf40 homolog
Gene_005463	hypothetical protein pbra 000937
Gene_005464	hypothetical protein pbra 000936
Gene_005465	hypothetical protein pbra 000934
Gene_005466	hypothetical protein pbra 000933; partial
Gene_005467	centrosomal of 78 kda
Gene_005468	flagellar associated
Gene_005469	cyclin-dependent kinase regulatory subunit 1
Gene_005470	dna repair xrcc3 homolog
Gene_005471	hypothetical protein pbra 000928
Gene_005472	ccr4 nocturin family endoribonuclease
Gene_005473	sterol 3-beta-glucosyltransferase
Gene_005474	hypothetical protein pbra 000925
Gene_005475	probable ribosome biogenesis rlp24
Gene_005476	cholinephosphotransferase 1-like
Gene_005477	choline ethanolaminephosphotransferase 1-like
Gene_005478	peptidase m20
Gene_005479	2;3-bisphosphoglycerate-independent phosphoglycerate mutase
Gene_005480	metal abc transporter permease
Gene_005481	hypothetical protein pbra 000917
Gene_005482	hypothetical protein pbra 000916
Gene_005484	embryonic stem cell-specific 5-hydroxymethylcytosine-binding-like
Gene_005485	taxilin family domain-containing
Gene_005486	aaa atpase domain-containing
Gene_005487	radical sam
Gene_005488	hypothetical protein pbra 000912
Gene_005490	trna pseudouridine(38-40) synthase
Gene_005491	hypothetical protein pbra 000908
Gene_005492	hypothetical protein pbra 000906
Gene_005493	hypothetical protein pbra 000905
Gene_005494	hypothetical protein pbra 000904; partial
Gene_005495	gamma-aminobutyric acid type b receptor subunit 1-like
Gene_005496	hypothetical protein pbra 000903
Gene_005497	p-loop containing nucleoside triphosphate hydrolase
Gene_005498	rna recognition motif domain
Gene_005499	zinc finger 271 (zinc finger 7) (hzf7) (zinc finger znfphex133) (epstein-barr virus-induced zinc finger ) (znf-eb) (ct-zfp48) (zinc finger
Gene_005500	exosome complex exonuclease rrp4
Gene_005501	wd repeat-containing 54 isoform x1
Gene_005502	yippee-like at4g27745
Gene_005503	hypothetical protein pbra 000896
Gene_005504	probable phosphatase 2c 55
Gene_005505	general transcription factor iih subunit 3 isoform 1
Gene_005506	ubiquitin activating e1
Gene_005507	ankyrin repeat domain-containing
Gene_005508	delta(3;5)-delta(2;4)-dienoyl-mitochondrial-like
Gene_005509	alpha beta hydrolase family [lentimicrobium saccharophilum]
Gene_005510	cytochrome p450 86a2
Gene_005511	hypothetical protein pbra 000886
Gene_005512	farnesyltransferase geranylgeranyltransferase type-1 subunit alpha
Gene_005513	enoyl-hydratase
Gene_005515	flagellar associated
Gene_005516	hypothetical protein pbra 000883; partial
Gene_005517	pas domain s-box
Gene_005518	dna polymerase delta catalytic subunit
Gene_005519	mrn complex-interacting isoform x2
Gene_005520	hypothetical protein pbra 001655
Gene_005522	tyrosinase family
Gene_005523	regulator of g-signaling 21
Gene_005524	ubiquitin carboxyl-terminal hydrolase 46
Gene_005525	[micromonas commoda]
Gene_005526	40s ribosomal s13-2
Gene_005527	p-loop containing nucleoside triphosphate hydrolase
Gene_005528	dis3-like exonuclease 1 isoform x2
Gene_005529	hypothetical protein pbra 000872
Gene_005530	required for s-m and dna damage checkpoints
Gene_005531	replication factor c subunit 1
Gene_005532	tigr00297 family
Gene_005535	ddrgk domain-containing 1
Gene_005536	hypothetical protein pbra 000866; partial
Gene_005537	long-chain fatty acid-ligase
Gene_005539	arm repeat-containing
Gene_005540	hypothetical protein pbra 000862
Gene_005541	gpi inositol-deacylase
Gene_005542	hypothetical protein pbra 000861
Gene_005543	hypothetical protein pbra 000860
Gene_005544	nuclease harbi1
Gene_005545	hypothetical protein pbra 005741; partial
Gene_005546	serine threonine-kinase
Gene_005547	rna polymerase-associated ctr9 homolog
Gene_005548	hypothetical protein pbra 000857
Gene_005549	folate biopterin transporter
Gene_005551	hypothetical protein pbra 000854
Gene_005552	thymus-specific serine protease-like
Gene_005553	nad-dependent deacetylase sirtuin-1-like
Gene_005554	gtp-binding
Gene_005555	alkaloid synthase surface mucin hemomucin
Gene_005556	nucleolar complex 3 homolog isoform x2
Gene_005557	putative transmembrane protein
Gene_005559	dna-directed rna polymerase iii subunit rpc4-like isoform x1
Gene_005560	wd repeat-containing 91 homolog
Gene_005561	wd repeat-containing 91
Gene_005562	hypothetical protein pbra 000846
Gene_005563	sec14 1 isoform x1
Gene_005564	arsenic (+3 oxidation state) methyltransferase
Gene_005565	arsenite methyltransferase
Gene_005566	ubiquitin-conjugating enzyme e2
Gene_005567	hypothetical protein pbra 000842
Gene_005568	xylulose kinase
Gene_005569	dual specificity tyrosine-phosphorylation-regulated kinase 2 3 4
Gene_005570	f-box at3g58530
Gene_005571	related to carrier mitochondrial
Gene_005572	nascent polypeptide-associated complex subunit muscle-specific form isoform x1
Gene_005573	hypothetical protein pbra 000838
Gene_005574	delta24(24(1))-sterol reductase
Gene_005575	bifunctional glutathionylspermidine amidase glutathionylspermidine synthetase
Gene_005576	hypothetical protein pbra 000835
Gene_005577	t-complex 1 subunit beta
Gene_005578	glutamate-trna ligase
Gene_005579	calcium atpase
Gene_005582	tubulin-specific chaperone c
Gene_005583	heavy metal translocatin
Gene_005584	clathrin assembly at2g25430
Gene_005585	tetratricopeptide repeat
Gene_005586	wd repeat-containing 17
Gene_005587	hypothetical protein pbra 000826
Gene_005588	wd repeat-containing 17
Gene_005589	hypothetical protein pbra 000824
Gene_005590	hypothetical protein pbra 000824
Gene_005591	gdp-l-fucose synthase 2
Gene_005592	glutathione gamma-glutamylcysteinyltransferase 1-like isoform x2
Gene_005593	hypothetical protein pbra 000822
Gene_005595	hypothetical protein pbra 000820
Gene_005596	hypothetical protein pbra 000819
Gene_005597	hypothetical protein pbra 000818
Gene_005598	hypothetical protein pbra 000819
Gene_005599	rnase p p29 subunit
Gene_005600	hypothetical protein pbra 008155
Gene_005601	stromal cell-derived factor 2
Gene_005602	hypothetical protein pbra 000814
Gene_005603	pyrazinamidase nicotinamidase
Gene_005604	uncharacterized gtp-binding ygr210c-like
Gene_005605	[micromonas commoda]
Gene_005606	hypothetical protein pbra 000811
Gene_005607	upf0696 c11orf68 homolog
Gene_005608	rad50-interacting 1
Gene_005609	hypothetical protein pbra 000807; partial
Gene_005610	eukaryotic translation initiation factor 4g
Gene_005611	holo-[acyl-carrier-] synthase
Gene_005612	sentrin-specific protease 8
Gene_005613	hypothetical protein pbra 000804; partial
Gene_005615	phosphatidylserine decarboxylase subunit beta
Gene_005616	7-methylguanosine phosphate-specific 5-nucleotidase
Gene_005617	5-nucleotidase
Gene_005618	exosome complex component rrp43
Gene_005619	multiple myeloma tumor-associated
Gene_005620	hypothetical protein pbra 000800; partial
Gene_005621	signal recognition particle 19 kda
Gene_005622	ras family
Gene_005623	sart-1 family dot2
Gene_005624	cbr-klp-related
Gene_005625	mitochondrial inner membrane protease atp23
Gene_005626	rna binding
Gene_005627	thiamine transporter 2-like
Gene_005628	hypothetical protein pbra 000793
Gene_005629	vacuolar sorting-associated 33a
Gene_005630	pentatricopeptide repeat-containing mitochondrial-like
Gene_005632	wd repeat
Gene_005633	atp-dependent rna helicase ddx5
Gene_005634	hypothetical protein pbra 000787
Gene_005635	hypothetical protein pbra 000786
Gene_005636	disheveled-associated activator of morphogenesis 1 isoform x1
Gene_005637	restriction endonuclease type ii-like
Gene_005638	zinc c2h2 type
Gene_005639	hypothetical protein pbra 000784
Gene_005641	xaa-pro dipeptidase
Gene_005642	ubiquitin-like modifier-activating enzyme atg7
Gene_005643	isopentenyl-diphosphate delta-isomerase 1-like isoform x2
Gene_005644	tom1 2 isoform x2
Gene_005645	hypothetical protein pbra 000778
Gene_005646	hypothetical protein pbra 007550
Gene_005647	hypothetical protein pbra 000777
Gene_005648	hypothetical protein pbra 000776; partial
Gene_005650	gamma carbonic anhydrase family
Gene_005651	cell surface glyco 1
Gene_005652	hypothetical protein pbra 000773
Gene_005653	lateral signaling target 2 homolog
Gene_005654	hypothetical protein pbra 000772
Gene_005656	hypothetical protein pbra 009702
Gene_005657	hypothetical protein pbra 000770
Gene_005659	condensin complex subunit 3
Gene_005660	condensin complex subunit 3-like isoform x2
Gene_005661	rna polymerase i-specific transcription initiation factor rrn3
Gene_005662	hypothetical protein pbra 000767
Gene_005663	tyrosine phosphatase
Gene_005664	tpr domain containing (macronuclear)
Gene_005665	hypothetical protein pbra 000764
Gene_005666	mitochondrial import inner membrane translocase subunit tim14
Gene_005667	digestive organ expansion factor homolog isoform x2
Gene_005668	uncharacterized aarf domain-containing kinase 1
Gene_005669	hypothetical protein pbra 000760; partial
Gene_005670	wd40 repeat-containing
Gene_005671	molybdenum cofactor sulfurase
Gene_005672	hypothetical protein pbra 000757
Gene_005673	signal peptidase complex subunit 3
Gene_005675	atp synthase regulation nca2
Gene_005676	uroporphyrinogen-iii synthase
Gene_005677	gastrula zinc finger-like
Gene_005678	counting factor 60-like
Gene_005679	pas domain s-box
Gene_005681	hypothetical protein pbra 000750
Gene_005682	peptidyl-prolyl cis-trans isomerase pin1
Gene_005683	multifunctional 2 ;3-cyclic-nucleotide 2-phosphodiesterase 5-nucleotidase 3-nucleotidase
Gene_005684	multifunctional 2 ;3-cyclic-nucleotide 2-phosphodiesterase 5-nucleotidase 3-nucleotidase
Gene_005685	sh3 domain-containing
Gene_005686	hypothetical protein pbra 000746; partial
Gene_005687	hypothetical protein pbra 000745
Gene_005688	serine threonine-kinase ulk4 isoform x1
Gene_005689	thiamin pyrophosphokinase 1
Gene_005690	php domain
Gene_005691	zinc finger xfin-like
Gene_005692	hypothetical protein h257 02820
Gene_005694	hypothetical protein pbra 000740
Gene_005696	hypothetical protein pbra 000739
Gene_005699	histone-lysine n-h3 lysine-36 and h4 lysine-20 specific-like isoform x1
Gene_005700	abc transporter mitochondrial
Gene_005701	hypothetical protein pbra 000736
Gene_005704	hypothetical protein pbra 000734
Gene_005705	transport sec16b homolog
Gene_005707	hypothetical protein pbra 000733
Gene_005708	hypothetical protein pbra 005799
Gene_005709	hypothetical protein pbra 000733
Gene_005710	nad-dependent dna ligase
Gene_005711	hypothetical protein pbra 000731
Gene_005713	hypothetical protein pbra 000729
Gene_005714	probable sodium metabolite cotransporter chloroplastic
Gene_005715	altered inheritance of mitochondria 32
Gene_005716	nad+ dependent glutamate dehydrogenase
Gene_005717	c2h2 type zinc-finger
Gene_005718	winged helix dna-binding domain-containing [candidatus chloroploca asiatica]
Gene_005719	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
Gene_005720	eukaryotic translation initiation factor 4e-1
Gene_005721	yae1 domain-containing 1
Gene_005723	hypothetical protein pbra 000720; partial
Gene_005724	kinase family wd-40 repeat family
Gene_005725	hypothetical protein pbra 000719
Gene_005726	fragile x mental retardation syndrome-related 1 isoform x5
Gene_005727	probable serine threonine-kinase ddb g0271682
Gene_005728	hypothetical protein pbra 000717
Gene_005729	hypothetical protein pbra 000716; partial
Gene_005730	rnase h domain
Gene_005731	formin-homology 2 domain-containing
Gene_005732	actin depolymerizing
Gene_005733	hypothetical protein pbra 000714
Gene_005735	forkhead associated fha domain and ring domain
Gene_005736	arginine-trna cytoplasmic
Gene_005737	arginyl-trna synthetase
Gene_005738	arachidonate 5-lipoxygenase
Gene_005739	hypothetical protein pbra 000710
Gene_005740	root and pollen arfgap
Gene_005741	grasp55 65 family
Gene_005742	pre-mrna-splicing factor atp-dependent rna helicase dhx16
Gene_005744	ankyrin repeat
Gene_005746	hypothetical protein pbra 000704
Gene_005747	arachidonate 5-lipoxygenase isoform x1
Gene_005748	allene oxide synthase-lipoxygenase
Gene_005749	hypothetical protein pbra 000702
Gene_005750	hypothetical protein pbra 000701
Gene_005751	hypothetical protein pbra 000700
Gene_005752	atp-dependent dna helicase q-like 3
Gene_005753	probable polyamine transporter at1g31830
Gene_005754	cdp-diacylglycerol-glycerol-3-phosphate 3-mitochondrial
Gene_005755	adenylate kinase 7-like
Gene_005756	tho complex subunit 5b-like isoform x4
Gene_005758	hypothetical protein pbra 000694; partial
Gene_005759	hypothetical protein pbra 000693; partial
Gene_005760	hypothetical protein pbra 000692
Gene_005761	vacuolar iron family transporter
Gene_005762	hypothetical protein pbra 006567
Gene_005763	amino acid permease
Gene_005764	hypothetical protein pbra 000689; partial
Gene_005765	trafficking particle complex subunit 11
Gene_005766	u6 snrna-associated sm lsm3
Gene_005767	hypothetical protein penste c001g01537
Gene_005768	phosphatase 1d-like
Gene_005769	hypothetical protein pbra 000687
Gene_005770	zinc finger ccch domain-containing 3-like
Gene_005771	hypothetical protein pbra 000684
Gene_005772	hypothetical protein pbra 000683
Gene_005773	hypothetical protein pbra 000682
Gene_005774	leupaxin-like isoform x1
Gene_005775	hypothetical protein pbra 000681
Gene_005776	autophagy associated atg8
Gene_005777	hypothetical protein bvrb 030870; partial
Gene_005778	hypothetical protein pbra 000679; partial
Gene_005779	chromatin remodeling factor subunit and related transcription factors
Gene_005780	myb-like dna-binding domain-containing
Gene_005781	regulator of chromosome condensation rcc1
Gene_005782	tbc domain-containing
Gene_005783	methyltransferase 2 isoform x1
Gene_005784	adp-ribosylation factor gtpase-activating agd7
Gene_005785	transient-receptor-potential calcium channel
Gene_005786	thiamin diphosphate-binding
Gene_005787	dna-directed rna polymerases and iii subunit rpabc2-like
Gene_005789	conserved hypothetical protein
Gene_005790	probable magnesium transporter nipa8
Gene_005791	hypothetical protein pbra 000671
Gene_005792	mediator of rna polymerase ii transcription subunit 12-like
Gene_005793	pre-mrna-splicing factor 38a
Gene_005794	actin-related 4
Gene_005795	hypothetical protein pbra 000712
Gene_005796	glycoside hydrolase deacetylase
Gene_005797	e3 ubiquitin-ligase ring2-a-like isoform x1
Gene_005798	pas domain-containing
Gene_005799	camp-specific phosphodiesterase
Gene_005800	hypothetical protein pbra 000664
Gene_005801	hypothetical protein pbra 000664
Gene_005802	bub3-interacting and glebs motif-containing znf207-like
Gene_005803	kinase
Gene_005804	hypothetical protein pbra 000661
Gene_005805	conserved oligomeric golgi complex subunit 2
Gene_005806	oligomeric golgi complex component
Gene_005807	hypothetical protein pbra 002585
Gene_005808	retrovirus-related pol poly from transposon tnt 1-94
Gene_005809	hypothetical protein pbra 009504
Gene_005812	hypothetical protein pbra 009648
Gene_005814	hypothetical protein pbra 009177; partial
Gene_005815	probable e3 ubiquitin-ligase herc2
Gene_005816	cation channel family (macronuclear)
Gene_005817	hypothetical protein pbra 006110
Gene_005818	hypothetical protein pbra 006111
Gene_005819	hypothetical protein pbra 006112
Gene_005820	cysteine peroxiredoxin
Gene_005821	lysine-trna ligase isoform x2
Gene_005822	nadh dehydrogenase [ubiquinone] flavo mitochondrial
Gene_005823	50s ribosomal l13
Gene_005824	hypothetical protein pbra 006117
Gene_005825	dynein gamma chain
Gene_005826	isoamyl acetate-hydrolyzing esterase 1 homolog
Gene_005827	hypothetical protein pbra 006120
Gene_005829	set domain containing
Gene_005830	phosphatidylcholine:ceramide cholinephosphotransferase 1
Gene_005831	t-complex 11 1
Gene_005832	hybrid sensor histidine kinase response regulator
Gene_005833	dna topoisomerase 2-binding 1
Gene_005834	hippocalcin-like 4
Gene_005835	rna 3-terminal phosphate cyclase
Gene_005836	rna 3-terminal phosphate cyclase-like
Gene_005837	carbohydrate binding domain
Gene_005840	cytoplasmic dynein 2 heavy chain 1
Gene_005841	probable cleavage and polyadenylation specificity factor subunit 2
Gene_005842	ester hydrolase c11orf54 homolog
Gene_005843	early responsive to dehydration
Gene_005844	hypothetical protein pbra 006132
Gene_005845	transmembrane
Gene_005846	amino acid transporter ant1-like
